iter	Passed	Remaining
270	453	1219
271	454	1216
272	457	1218
273	470	1247
274	471	1244
275	474	1245
276	476	1243
277	477	1239
278	478	1235
279	479	1231
280	479	1227
281	482	1228
282	484	1228
283	485	1224
284	486	1221
285	487	1217
286	493	1225
287	494	1222
288	497	1223
289	499	1223
290	501	1222
291	503	1220
292	504	1217
293	505	1213
294	506	1210
295	507	1206
296	508	1203
297	509	1199
298	510	1195
299	511	1192
300	521	1210
301	522	1207
302	525	1208
303	527	1208
304	529	1205
305	531	1205
306	532	1202
307	533	1198
308	534	1195
309	535	1191
310	548	1215
311	550	1212
312	550	1209
313	551	1205
314	552	1201
315	553	1197
316	554	1194
317	555	1190
318	556	1187
319	557	1183
320	557	1180
321	558	1176
322	563	1180
323	564	1177
324	569	1183
325	570	1180
326	572	1177
327	573	1174
328	573	1170
329	575	1167
330	576	1164
331	577	1161
332	578	1158
333	579	1155
334	580	1152
335	581	1149
336	582	1146
337	584	1143
338	584	1140
339	585	1137
340	586	1133
341	587	1130
342	588	1127
343	589	1124
344	591	1123
345	594	1122
346	594	1119
347	595	1116
348	596	1112
349	597	1109
350	598	1106
351	599	1102
352	599	1099
353	600	1096
354	601	1093
355	602	1089
356	603	1087
357	605	1085
358	606	1082
359	607	1080
360	609	1078
361	609	1075
362	610	1071
363	611	1068
364	612	1066
365	619	1073
366	622	1073
367	623	1071
368	624	1068
369	625	1065
370	627	1063
371	628	1061
372	629	1058
373	630	1055
374	631	1052
375	632	1050
376	634	1048
377	637	1048
378	639	1047
379	640	1044
380	641	1041
381	642	1039
382	645	1040
383	647	1038
384	648	1035
385	649	1032
386	650	1029
387	651	1026
388	651	1023
389	653	1022
390	655	1020
391	656	1018
392	657	1015
393	658	1012
394	659	1009
395	660	1007
396	662	1006
397	664	1004
398	665	1001
399	666	999
400	667	996
401	668	993
402	669	991
403	670	988
404	671	986
405	672	984
406	673	981
407	674	979
408	675	976
409	676	973
410	677	971
411	678	968
412	679	966
413	680	963
414	681	961
415	682	958
416	683	955
417	684	952
418	685	950
419	685	947
420	686	944
421	687	942
422	688	939
423	689	937
424	690	934
425	691	932
426	692	929
427	693	927
428	695	925
429	696	922
430	697	920
431	698	917
432	698	915
433	699	912
434	700	910
435	701	907
436	702	905
437	703	902
438	704	900
439	705	898
440	706	895
441	707	893
442	708	891
443	709	889
444	711	886
445	711	884
446	712	881
447	714	880
448	715	878
449	716	876
450	718	874
451	721	874
452	722	872
453	725	872
454	726	870
455	727	867
456	728	865
457	729	863
458	730	860
459	731	858
460	732	856
461	733	853
462	734	851
463	735	849
464	736	846
465	737	845
466	739	843
467	740	841
468	741	839
469	742	836
470	743	835
471	744	833
472	745	830
473	747	829
474	748	827
475	750	825
476	751	823
477	752	821
478	753	819
479	754	817
480	755	814
481	756	812
482	757	810
483	758	808
484	759	806
485	760	804
486	761	802
487	762	800
488	763	798
489	765	796
490	766	794
491	767	792
492	768	790
493	769	787
494	770	785
495	770	783
496	771	781
497	772	779
498	773	776
499	774	774
500	775	772
501	776	770
502	777	768
503	778	766
504	779	764
505	781	762
506	782	760
507	782	758
508	783	756
509	784	753
510	785	751
511	786	749
512	787	747
513	788	745
514	789	743
515	790	741
516	791	739
517	792	737
518	793	735
519	794	733
520	795	731
521	796	729
522	797	727
523	798	725
524	799	723
525	800	721
526	801	719
527	803	718
528	804	716
529	805	714
530	806	712
531	807	710
532	808	708
533	809	706
534	810	704
535	811	702
536	812	700
537	813	698
538	813	696
539	814	694
540	815	691
541	819	692
542	820	690
543	821	688
544	823	687
545	824	685
546	825	683
547	826	681
548	827	679
549	828	677
550	829	675
551	830	674
552	833	674
553	835	672
554	836	670
555	837	668
556	838	666
557	839	664
558	840	663
559	841	661
560	842	659
561	843	657
562	844	655
563	850	657
564	851	655
565	852	653
566	853	651
567	854	649
568	855	647
569	856	645
570	857	643
571	857	641
572	858	640
573	859	638
574	860	636
575	862	634
576	865	634
577	866	632
578	867	630
579	868	628
580	869	626
581	870	624
582	871	623
583	872	621
584	872	619
585	873	617
586	874	615
587	876	614
588	878	613
589	880	611
590	881	609
591	882	607
592	882	605
593	883	604
594	884	602
595	886	600
596	887	598
597	888	597
598	889	595
599	891	594
600	892	592
601	893	590
602	894	588
603	895	587
604	896	585
605	897	583
606	898	581
607	899	579
608	900	577
609	901	576
610	901	574
611	902	572
612	903	570
613	904	568
614	905	566
615	907	565
616	908	564
617	909	562
618	910	560
619	912	559
620	913	557
621	914	555
622	914	553
623	915	551
624	916	549
625	917	548
626	918	546
627	919	544
628	920	543
629	921	541
630	922	539
631	923	538
632	924	536
633	925	534
634	926	532
635	927	531
636	928	529
637	929	527
638	933	527
639	935	526
640	936	524
641	937	522
642	938	521
643	939	519
644	940	517
645	941	515
646	942	514
647	943	512
648	943	510
649	944	508
650	948	508
651	949	506
652	950	505
653	951	503
654	952	501
655	953	499
656	954	498
657	955	496
658	956	494
659	957	493
660	958	491
661	959	489
662	962	489
663	963	487
664	964	485
665	965	484
666	966	482
667	967	480
668	968	478
669	968	477
670	969	475
671	970	473
672	971	471
673	972	470
674	972	468
675	973	466
676	974	465
677	978	464
678	979	463
679	980	461
680	981	459
681	983	458
682	983	456
683	984	454
684	985	453
685	986	451
686	987	449
687	988	448
688	989	446
689	989	444
690	993	444
691	994	442
692	995	441
693	996	439
694	997	437
695	998	435
696	998	434
697	999	432
698	1000	430
699	1001	429
700	1002	427
701	1003	425
702	1004	424
703	1006	423
704	1008	421
705	1009	420
706	1010	418
707	1011	417
708	1012	415
709	1013	413
710	1013	412
711	1014	410
712	1015	408
713	1016	407
714	1017	405
715	1018	403
716	1018	402
717	1019	400
718	1022	399
719	1024	398
720	1025	396
721	1025	395
722	1026	393
723	1027	391
724	1028	390
725	1029	388
726	1030	386
727	1031	385
728	1032	383
729	1033	382
730	1034	380
731	1035	379
732	1037	377
733	1038	376
734	1039	374
735	1040	373
736	1041	371
737	1042	370
738	1043	368
739	1044	366
740	1045	365
741	1046	363
742	1047	362
743	1048	360
744	1049	359
745	1051	357
746	1052	356
747	1055	355
748	1056	354
749	1057	352
750	1058	350
751	1059	349
752	1060	347
753	1061	346
754	1062	344
755	1063	343
756	1064	341
757	1065	340
758	1066	338
759	1067	336
760	1068	335
761	1069	334
762	1070	332
763	1071	330
764	1072	329
765	1073	327
766	1074	326
767	1074	324
768	1075	323
769	1076	321
770	1077	319
771	1080	319
772	1081	317
773	1082	316
774	1083	314
775	1084	313
776	1085	311
777	1086	309
778	1087	308
779	1087	306
780	1088	305
781	1089	303
782	1090	302
783	1091	300
784	1092	299
785	1093	297
786	1094	296
787	1095	294
788	1096	293
789	1097	291
790	1098	290
791	1099	288
792	1100	287
793	1101	285
794	1102	284
795	1103	282
796	1104	281
797	1105	279
798	1106	278
799	1107	276
800	1108	275
801	1109	273
802	1110	272
803	1111	270
804	1112	269
805	1113	267
806	1114	266
807	1115	265
808	1116	263
809	1117	262
810	1118	260
811	1119	259
812	1120	257
813	1121	256
814	1122	254
815	1123	253
816	1124	251
817	1125	250
818	1126	248
819	1127	247
820	1128	245
821	1129	244
822	1130	243
823	1131	241
824	1132	240
825	1133	238
826	1134	237
827	1135	235
828	1136	234
829	1138	233
830	1139	231
831	1140	230
832	1141	228
833	1142	227
834	1143	225
835	1144	224
836	1145	223
837	1146	221
838	1147	220
839	1147	218
840	1148	217
841	1149	215
842	1150	214
843	1151	212
844	1152	211
845	1153	210
846	1155	208
847	1156	207
848	1156	205
849	1157	204
850	1158	202
851	1159	201
852	1160	199
853	1161	198
854	1162	197
855	1163	195
856	1164	194
857	1165	192
858	1166	191
859	1167	190
860	1168	188
861	1169	187
862	1170	185
863	1171	184
864	1172	183
865	1173	181
866	1174	180
867	1175	178
868	1176	177
869	1177	175
870	1178	174
871	1179	173
872	1183	172
873	1185	170
874	1185	169
875	1186	167
876	1187	166
877	1188	165
878	1189	163
879	1190	162
880	1191	160
881	1191	159
882	1192	158
883	1193	156
884	1194	155
885	1197	154
886	1198	152
887	1199	151
888	1200	149
889	1201	148
890	1202	147
891	1203	145
892	1203	144
893	1204	142
894	1205	141
895	1206	139
896	1206	138
897	1207	137
898	1208	135
899	1209	134
900	1214	133
901	1216	132
902	1217	130
903	1218	129
904	1219	128
905	1220	126
906	1221	125
907	1222	123
908	1223	122
909	1224	121
910	1226	119
911	1229	118
912	1230	117
913	1231	115
914	1232	114
915	1233	113
916	1234	111
917	1234	110
918	1235	108
919	1236	107
920	1237	106
921	1238	104
922	1239	103
923	1240	102
924	1242	100
925	1243	99
926	1244	97
927	1245	96
928	1246	95
929	1247	93
930	1248	92
931	1249	91
932	1250	89
933	1251	88
934	1252	87
935	1253	85
936	1257	84
937	1258	83
938	1259	81
939	1260	80
940	1261	79
941	1262	77
942	1263	76
943	1264	75
944	1265	73
945	1266	72
946	1266	70
947	1267	69
948	1273	68
949	1274	67
950	1275	65
951	1276	64
952	1277	62
953	1278	61
954	1278	60
955	1279	58
956	1280	57
957	1281	56
958	1282	54
959	1283	53
960	1285	52
961	1287	50
962	1288	49
963	1289	48
964	1290	46
965	1291	45
966	1292	44
967	1293	42
968	1294	41
969	1295	40
970	1296	38
971	1296	37
972	1297	36
973	1299	34
974	1300	33
975	1302	32
976	1303	30
977	1304	29
978	1305	27
979	1306	26
980	1307	25
981	1307	23
982	1308	22
983	1309	21
984	1310	19
985	1311	18
986	1312	17
987	1313	15
988	1314	14
989	1316	13
990	1317	11
991	1318	10
992	1319	9
993	1320	7
994	1321	6
995	1322	5
996	1323	3
997	1324	2
998	1324	1
999	1325	0
